YEAR,JOURNAL,TITLE,DOI
2005,Landscape Ecology,"Taxon-dependent scaling: beetles, birds, and vegetation at four North American grassland sites",10.1007/s10980-004-5651-4
2005,Ecology,Environmental constraints on a global relationship among leaf and root traits of grasses,10.1890/04-1075
2005,Ecology,Partitioning of nitrogen over five growing seasons in tallgrass prairie,10.1890/03-0790
2005,American Midland Naturalist,Woody plant encroachment and removal in mesic grassland: production and composition responses of herbaceous vegetation,10.1674/0003-0031(2005)153[0217:WPEARI]2.0.CO;2
2005,Ecosystems,Regional patterns in carbon cycling across the Great Plains of North America,10.1007/s10021-004-0117-8
2005,Ecological Applications,A test for community change using a null model approach,10.1890/04-1490
2006,Plant Ecology,The role of seed and vegetative reproduction in plant recruitment and demography in tallgrass prairie,10.1007/s11258-005-0975-y
2006,Aquatic Ecology,Temperature and kairomone induced life history plasticity in coexisting Daphnia,10.1007/s10452-006-9035-5
2006,Freshwater Biology,Effects of floods on fish assemblages in an intermittent prairie stream,10.1111/j.1365-2427.2006.01640.x
2006,African Journal of Ecology,Bud banks of perennial savanna grasses in Botswana,10.1111/j.1365-2028.2006.00646.x
2006,Ecology,Does plant species co-occurrence influence soil mite diversity?,10.1890/05-0380
2006,Ecology,Are soil mite assemblages structured by the identity of native and invasive alien grasses?,10.1890/0012-9658(2006)87[1314:ASMASB]2.0.CO;2
2006,Molecular Ecology,Molecular approach for assessing responses of microbial-feeding nematodes to burning and chronic nitrogen enrichment in a native grassland,10.1111/j.1365-294X.2006.02971.x
2006,Journal of Wildlife Management,Estimation of demographic parameters from liveencounter data: a summary review,10.2193/0022-541X(2006)70[1504:EODPFL]2.0.CO;2
2006,Functional Ecology,Mycorrhizal-mediated phosphorus transfer between tallgrass prairie plants Sorghastrum nutans and Artemisia ludoviciana,10.1111/j.1365-2435.2006.01134.x
2007,Trends in Ecology and Evolution,"Trophic state, eutrophication, and nutrient criteria in streams",10.1016/j.tree.2007.07.010
2007,Oecologia,Stream insect occupancy-frequency patterns and metapopulation structure,10.1007/s00442-006-0596-8
2007,Oecologia,Linking water uptake with rooting patterns in grassland species,10.1007/s00442-007-0745-8
2007,Oikos,Soil water partitioning contributes to species coexistence in tallgrass prairie,10.1111/j.0030-1299.2007.15630.x
2007,American Midland Naturalist,Altered ecosystem nitrogen dynamics as a consequence of land cover change in tallgrass prairie,10.1674/0003-0031(2007)158[432:AENDAA]2.0.CO;2
2007,Behavioral Ecology,"Nest mate size, but not short-term need, influences begging behavior of a generalist brood parasite",10.1093/beheco/arl068
2007,Journal of Ecology,Intra-seasonal precipitation patterns and aboveground productivity in three perennial grasslands,10.1111/j.1365-2745.2007.01237.x
2007,Southwestern Naturalist,Spatial variation in predation attempts on artificial snakes in a fire-disturbed tallgrass prairie,10.1894/0038-4909(2007)52[263:SVIPAO]2.0.CO;2
2008,Ecology,Grassland establishment under varying resource availability: A test of positive and negative feedback,10.1890/07-0417.1
2008,Global Change Biology,Changes in grassland ecosystem function due to extreme rainfall events: implications for responses to climate change,10.1111/j.1365-2486.2008.01605.x
2008,Global Change Biology,Modelled effects of precipitation on ecosystem carbon and water dynamics in different climatic zones,10.1111/j.1365-2486.2008.01651.x
2008,Plant Ecology,Comparison of damage to native and exotic tallgrass prairie plants by natural enemies,10.1007/s11258-008-9395-0
2008,Ecography,Temporal coherence of aboveground net primary productivity in mesic grasslands,10.1111/j.0906-7590.2008.05351.x
2008,Restoration Ecology,Integrating soil ecological knowledge into restoration management,10.1111/j.1526-100X.2008.00477.x
2008,Ecological Applications,Cowbird removals unexpectedly increase productivity of a brood parasite and the songbird host,10.1890/07-0984.1
